ISSUED,OFFICERBADGE,LOCATIONDESC1,LOCATIONDESC2
2017-11-21 15:06:00,FA42,00 MARSH AVENUE,"(35.7934826, -78.71785969999999)"
2017-10-09 07:25:00,FA36,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-09 07:27:00,FA36,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-11-21 15:57:00,FA22,200 S MCDOWELL ST 25,"(35.777722, -78.642673)"
2017-10-05 11:36:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:37:00,FA41,2400 HILLSBOROUGH ST,"(35.7877521, -78.6670422)"
2017-11-21 17:13:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-11-21 17:18:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-11-21 17:26:00,FA27,00 SOUTH HARRINGTON,"(35.7805972, -78.6450083)"
2017-10-05 11:23:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:29:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:30:00,FA26,CITY MARKET LOT,"(0.0, 0.0)"
2017-10-05 11:30:00,FA41,2400 HILLSBOROUGH ST,"(35.7877521, -78.6670422)"
2017-10-05 11:31:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-16 09:32:00,FA26,600 PRICE ST,"(35.7792625, -78.6714847)"
2017-10-09 07:35:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-10-05 11:37:00,FA42,500 NORTH PERSON,"(35.7860198, -78.6345182)"
2017-10-05 15:05:00,FA43,200 W HARGETT ST 123,"(35.77834989999999, -78.641823)"
2017-11-21 17:42:00,FA27,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-09 09:16:00,FA41,300 BLAKE ST,"(35.7758672, -78.6362831)"
2017-10-09 09:20:00,FA41,300 BLAKE ST,"(35.7758672, -78.6362831)"
2017-10-10 09:34:00,FA41,100 E MORGAN ST 114,"(35.7788918, -78.6192165)"
2017-10-10 09:38:00,FA27,2400 KILGORE AVE,"(35.7928533, -78.6654339)"
2017-10-10 09:30:00,FA43,600 ROSEMONT AVE,"(35.7926935, -78.6662861)"
2017-10-10 09:35:00,FA39,0 GLENWOOD AVE 204,"(35.7836246, -78.6471564)"
2017-10-12 10:04:00,FA40,100 S SALISBURY ST 2,"(35.7796228, -78.6401087)"
2017-10-12 10:05:00,FA39,222-298 GLENWOOD,"(35.7836251, -78.64714479999999)"
2017-10-12 10:12:00,FA41,100 S BLOUNT ST 168,"(35.7775226, -78.6366403)"
2017-10-12 10:13:00,FA40,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-12 10:17:00,FA40,200 S SALISBURY ST 2,"(35.7781779, -78.6404079)"
2017-11-21 15:55:00,FA43,0 W DAVIE ST 216,"(35.7757037, -78.6422504)"
2017-10-17 08:57:00,FA22,100 POLK ST 356,"(35.7860561, -78.6377972)"
2017-11-21 17:54:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-10-25 08:01:00,FA26,200 EAST POLK ST,"(35.7860301, -78.6361198)"
2017-11-21 15:11:00,FA43,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-11-21 15:16:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-11-21 15:17:00,FA22,200 W HARGETT ST 129,"(35.77834989999999, -78.641823)"
2017-11-21 15:13:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-11-21 15:17:00,FA42,100 LOGAN,"(35.7878167, -78.6657609)"
2017-11-21 15:17:00,FA43,0 E HARGETT ST 166,"(0.0, 0.0)"
2017-11-21 15:09:00,FA22,200 W HARGETT ST 126,"(35.77834989999999, -78.641823)"
2017-11-21 15:13:00,FA22,200 W HARGETT ST 130,"(35.77834989999999, -78.641823)"
2017-11-21 15:07:00,FA43,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-11-21 15:08:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-10-06 14:27:00,FA27,0 E HARGETT ST 168,"(35.77801669999999, -78.6366687)"
2017-11-21 16:34:00,FA27,100 SOUTH PERSON ST,"(35.7792937, -78.6353017)"
2017-11-21 16:47:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 16:49:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 16:11:00,FA43,0 W MARTIN ST 502,"(35.7771591, -78.6473474)"
2017-10-10 19:56:00,FA36,100 EAST MARTIN ST,"(35.7768968, -78.63828629999999)"
2017-11-21 19:19:00,FA27,700 WEST TUCKER ST,"(0.0, 0.0)"
2017-11-21 19:29:00,FA27,600 WEST NORTH ST,"(35.7849055, -78.6473714)"
2017-11-21 17:40:00,FA27,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-20 19:43:00,S16,500 PYLON STREET,"(35.7949236, -78.7014153)"
2017-10-20 19:47:00,S16,500 PYLON STREET,"(35.7949236, -78.7014153)"
2017-11-21 16:01:00,000,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 16:02:00,000,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-10-10 19:48:00,FA36,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 18:47:00,FA27,500 WEST NORTH ST,"(35.7848583, -78.6457267)"
2017-11-21 19:12:00,FA27,600 WEST TUCKER ST,"(35.7865648, -78.6477048)"
2017-11-21 18:46:00,S16,300 GLENWOOD AVE,"(35.784294, -78.647143)"
2017-10-10 19:51:00,FA36,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 15:25:00,FA22,200 W HARGETT ST 108,"(35.77834989999999, -78.641823)"
2017-11-21 15:43:00,FA42,2500 VANDERBILT AVE,"(35.7887286, -78.6676777)"
2017-11-21 15:41:00,FA43,0 E MARTIN ST 194,"(35.7768375, -78.63668150000001)"
2017-11-21 15:26:00,FA36,00 NORTH SALISBURY S,"(35.7701724, -78.6399264)"
2017-11-21 15:24:00,FA43,200 FAYETTEVILLE ST,"(35.77806700000001, -78.6394545)"
2017-11-21 15:25:00,FA42,200 CHAMBERLAIN ST,"(35.7885526, -78.6660042)"
2017-11-21 15:47:00,FA22,200 S MCDOWELL ST 25,"(35.777722, -78.642673)"
2017-10-06 15:10:00,FA41,300 W MARTIN ST,"(35.7770679, -78.64353229999999)"
2017-10-06 15:07:00,FA43,CABARRUS DECK,"(35.7745549, -78.64087219999999)"
2017-11-21 16:01:00,FA43,400 FAYETTEVILLE ST,"(35.7754545, -78.63968779999999)"
2017-10-18 08:20:00,FA22,0 E MARTIN ST 195,"(35.7768377, -78.6366865)"
2017-10-02 11:00:00,FA40,200 SOUTH SALISBURY,"(35.7781779, -78.6404079)"
2017-10-02 10:59:00,FA42,1205 UMSTEAD DR,"(35.77016130000001, -78.6565811)"
2017-10-02 11:06:00,FA40,200 S SALISBURY ST 3,"(35.7781779, -78.6404079)"
2017-10-03 09:32:00,FA40,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-11-21 20:13:00,FA27,300 WEST DAVIE ST,"(35.7757522, -78.6436338)"
2017-10-09 07:38:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-11-22 08:05:00,FA40,100 NORTH BLOODWORTH,"(35.7811661, -78.6329362)"
2017-11-21 23:28:00,FA27,2500 CLARK AVE,"(35.789816, -78.666737)"
2017-11-21 19:03:00,FA27,600 WEST JOHNSON ST,"(35.7873309, -78.64723819999999)"
2017-10-09 12:47:00,FA40,0 W MARTIN ST 188,"(0.0, 0.0)"
2017-11-21 23:40:00,S16,100 GARDNER ST,"(35.7896712, -78.6704587)"
2017-10-09 09:26:00,FA41,200 S PERSON ST 241,"(35.7781217, -78.634935)"
2017-10-09 12:46:00,FA41,100 EAST MARTIN ST,"(35.7768968, -78.63828629999999)"
2017-11-21 23:40:00,FA27,100 GARDNER ST,"(35.7896712, -78.6704587)"
2017-10-09 12:42:00,FA40,0 E MARTIN ST 194,"(35.7768375, -78.63668150000001)"
2017-10-05 15:06:00,FA36,200 W HARGETT ST 127,"(35.77834989999999, -78.641823)"
2017-10-13 14:27:00,FA43,1900 HILLSBOROUGH ST,"(35.7860224, -78.66167850000001)"
2017-10-13 14:28:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-11-21 16:45:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 17:15:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-10-09 07:17:00,FA36,300 SOUTH HARRINGTON,"(35.7771127, -78.64518509999999)"
2017-11-21 17:10:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-10-03 13:24:00,FA27,200 S MCDOWELL ST 24,"(35.777722, -78.642673)"
2017-11-21 17:51:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 17:53:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-10-03 12:25:00,FA40,0 E HARGETT ST 164,"(0.0, 0.0)"
2017-10-03 12:35:00,FA40,100 W HARGETT ST 139,"(35.778306, -78.6401829)"
2017-10-11 15:28:00,FA41,200 E HARGETT ST 263,"(35.7781751, -78.6365776)"
2017-10-11 15:28:00,FA43,2200 HOPE ST,"(35.7879147, -78.664245)"
2017-10-11 15:28:00,FA39,508-598 NORTH,"(35.7848874, -78.64670740000001)"
2017-10-11 15:29:00,FA26,2200 HOPE ST,"(35.7879147, -78.664245)"
2017-10-11 15:30:00,FA40,100 W HARGETT ST 147,"(35.778306, -78.6401829)"
2017-10-11 16:21:00,FA36,300 NORTH PERSON ST,"(35.7837368, -78.6346487)"
2017-10-11 16:21:00,FA39,100 E CABARRUS ST 33,"(35.7739274, -78.63819149999999)"
2017-10-17 09:40:00,FA40,0 W MARTIN ST 501,"(35.777145, -78.64612369999999)"
2017-10-17 09:41:00,FA39,600 WEST NORTH ST,"(35.7849055, -78.6473714)"
2017-10-10 23:30:00,3186,8700 WADFORD DR,"(35.894596, -78.557008)"
2017-10-10 08:30:00,4107,408 NORTHCLIFT DR,"(35.8632046, -78.6428658)"
2017-10-11 17:24:00,3672,3416 POOLE RD,"(35.7673081, -78.5797302)"
2017-10-11 17:05:00,3672,3416 POOLE RD,"(35.7673081, -78.5797302)"
2017-10-11 16:15:00,3672,6209 ROCK QUARRY RD,"(35.7234569, -78.5482507)"
2017-10-11 16:57:00,3741,4200 CLAYBOURNE DR,"(35.840139, -78.5678817)"
2017-10-12 16:23:00,3513,4224 BERYL RD,"(35.7950948, -78.6988788)"
2017-10-12 16:28:00,3513,BERYL RD,"(35.794593, -78.703727)"
2017-10-12 15:25:00,3250,4600 BERYL RD,"(35.7947565, -78.7029362)"
2017-10-12 16:30:00,3513,BERYL RD,"(35.794593, -78.703727)"
2017-10-12 11:05:00,3250,4807 BERYL RD,"(35.7918744, -78.7056716)"
2017-10-12 11:05:00,3250,4807 BERYL RD,"(35.7918744, -78.7056716)"
2017-10-12 12:33:00,2693,12800 SPRUCE TREE WAY,"(35.9429997, -78.5620943)"
2017-10-12 19:21:00,3740,4400 BERYL RD,"(35.7949346, -78.69994880000002)"
2017-10-12 16:41:00,3250,500 PYLON DR,"(35.7949236, -78.7014153)"
2017-10-12 16:35:00,3250,4600 BERYL RD,"(35.7947565, -78.7029362)"
2017-10-12 19:09:00,3790,471 BERYL RD,"(35.7948914, -78.702058)"
2017-10-12 19:06:00,3740,4701 BERYL RD,"(35.7937648, -78.7046542)"
2017-10-12 19:00:00,3790,4500 BERYL RD,"(0.0, 0.0)"
2017-10-12 18:20:00,3790,509 PYLON DR,"(35.7941265, -78.70109389999999)"
2017-10-13 17:30:00,3699,4224 BERYL RD,"(0.0, 0.0)"
2017-10-13 17:30:00,3699,4224 BERYL RD,"(35.7950948, -78.6988788)"
2017-10-13 20:30:00,3699,4501 BERYL RD,"(35.7943599, -78.702002)"
2017-10-13 17:35:00,3612,4400 BERYL RD,"(35.7949346, -78.69994880000002)"
2017-10-13 06:53:00,3790,544 PYLON,"(35.7921986, -78.7035144)"
2017-10-13 08:42:00,3790,4224 BERYL RD,"(35.7950948, -78.6988788)"
2017-10-12 05:27:00,3761,4700 BERYL RD,"(35.7944096, -78.7044471)"
2017-10-13 11:00:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 11:00:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 11:00:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:30:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:30:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:18:00,3462,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:15:00,3462,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-18 16:23:00,FA41,300 W MARTIN ST 176,"(35.7770679, -78.64353229999999)"
2017-10-19 10:21:00,FA43,2100 HILLSBOROUGH ST,"(35.7866976, -78.66327)"
2017-10-02 19:21:00,FA36,200 GLENWOOD AVE,"(35.782899, -78.6471869)"
2017-10-01 01:18:00,FA22,600 WEST TUCKER ST,"(35.7865648, -78.6477048)"
2017-10-16 11:22:00,FA22,300 NEW BERN AVE,"(35.7802092, -78.6347615)"
2017-10-18 08:15:00,FA22,0 EAST MARTIN ST,"(35.7769267, -78.63926719999999)"
2017-10-18 08:27:00,FA22,100 E MARTIN ST 196,"(35.7768968, -78.63828629999999)"
2017-10-19 10:53:00,FA39,508-598 NORTH,"(35.7848874, -78.64670740000001)"
2017-10-19 10:58:00,FA41,600 WEST HARGETT ST,"(35.7787558, -78.647387)"
2017-10-19 11:03:00,FA40,100 W LENOIR ST 226,"(35.7729525, -78.6405195)"
2017-10-19 11:07:00,FA43,100 BROOKS AVE,"(35.7874236, -78.67411609999999)"
2017-10-19 11:13:00,FA41,600 WEST HARGETT ST,"(35.7787558, -78.647387)"
2017-10-11 16:46:00,S16,100 LANE ST,"(35.7838347, -78.63791520000001)"
2017-10-11 16:47:00,S16,100 LANE ST,"(35.7838347, -78.63791520000001)"
2017-10-11 16:47:00,FA36,800 SOUTH BLOUNT ST,"(35.7694146, -78.6370226)"
2017-10-18 23:32:00,FA27,00 DIXIE TRAIL,"(35.7898166, -78.6758608)"
2017-10-18 23:32:00,FA36,00 DIXIE TRAIL,"(35.7898166, -78.6758608)"
2017-10-12 19:08:00,3612,4500 BERYL RD,"(35.7949231, -78.7014394)"
2017-10-12 10:54:00,1931,800 TRYON HILL DR,"(35.7807554, -78.6548488)"
2017-10-12 07:30:00,3513,HARRIS ST,"(35.7964271, -78.6737233)"
2017-10-12 21:00:00,3913,1030 NORTH ROGERS RD,"(35.7920847, -78.54813109999999)"
2017-10-12 21:34:00,3577,3416 POOLE RD,"(35.7673081, -78.5797302)"
2017-10-15 09:00:00,4153,NEW BIRCH DR,"(35.7462698, -78.599813)"
2017-10-15 09:02:00,4153,NEW BIRCH DR,"(35.7462698, -78.599813)"
2017-10-15 08:55:00,4153,NEW BIRCH DR,"(35.7462698, -78.599813)"
2017-10-15 08:51:00,4153,NEW BIRCH DR,"(35.7462698, -78.599813)"
2017-10-13 10:32:00,3753,6915 WOODBEND DR,"(35.876789, -78.637642)"
2017-10-05 09:02:00,FA43,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-10-05 09:04:00,FA41,1900 HILLSBOROUGH ST,"(0.0, 0.0)"
2017-10-05 09:15:00,FA41,0 PULLEN RD 765,"(35.7865798, -78.6615941)"
2017-10-05 09:30:00,FA41,00 MAIDEN LN,"(35.7869232, -78.6628971)"
2017-10-07 22:11:00,S16,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-07 22:11:00,FA41,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-07 22:16:00,S16,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-07 22:20:00,FA41,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-12 21:22:00,FA22,500 PYLON STREET,"(35.7949236, -78.7014153)"
2017-10-19 11:27:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-19 13:31:00,3610,4500 BERYL ROAD,"(35.7949231, -78.7014394)"
2017-10-08 00:38:00,S16,500 WEST NORTH ST,"(35.7848583, -78.6457267)"
2017-10-08 00:41:00,FA41,400 WEST NORTH ST,"(35.7852674, -78.6452816)"
2017-10-19 12:47:00,FA40,0 W MARTIN ST 188,"(35.7771447, -78.6417269)"
2017-11-21 20:17:00,FA27,300 WEST DAVIE ST,"(35.7757522, -78.6436338)"
2017-10-03 20:44:00,FA22,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-10-05 00:01:00,S16,617 HINSDALE,"(35.7891459, -78.6482292)"
2017-10-05 00:02:00,FA22,600 HINSDALE ST,"(35.7893342, -78.6472088)"
2017-10-11 17:41:00,FA27,300 SOUTH WILMINGTON,"(35.777289, -78.6384242)"
2017-10-02 11:17:00,FA40,0 W MARTIN ST 503,"(35.7771591, -78.6473474)"
2017-10-02 11:20:00,FA39,300 GLENWOOD AVE 121,"(35.784294, -78.647143)"
2017-10-03 09:51:00,FA27,0 E HARGETT ST 172,"(35.7780163, -78.63665859999999)"
2017-10-03 09:51:00,FA40,0 W DAVIE ST 216,"(35.7757037, -78.6422504)"
2017-10-03 09:57:00,FA41,0 LOGAN CT 809,"(35.7872309, -78.66592490000001)"
2017-10-03 09:58:00,FA40,0 W DAVIE ST 217,"(35.7756172, -78.6423463)"
2017-10-03 10:04:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-03 10:05:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-13 11:05:00,2921,4224 BERYL RD,"(35.7950948, -78.6988788)"
2017-10-13 11:35:00,2921,4900 BERYL RD,"(35.7931812, -78.7078832)"
2017-10-13 11:35:00,2921,4900 BERYL RD,"(35.7931812, -78.7078832)"
2017-10-13 14:15:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:20:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:20:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:25:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:25:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:25:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:25:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-13 14:30:00,2921,4700 HILLSBOROUGH  STREET,"(35.795436, -78.7025805)"
2017-10-17 08:18:00,FA22,CABARRUS DECK,"(35.7745549, -78.64087219999999)"
2017-10-15 21:06:00,3425,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-09 07:30:00,FA36,00 SOUTH HARRINGTON,"(35.7805972, -78.6450083)"
2017-10-02 11:21:00,FA40,0 W MARTIN ST 504,"(35.7769274, -78.6392868)"
2017-10-02 11:23:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-02 11:28:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-02 11:31:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-02 11:39:00,FA39,500 WEST JOHNSON ST,"(35.7872533, -78.64560019999999)"
2017-10-02 11:46:00,FA41,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-21 10:41:00,3464,5200 BERYL ROAD,"(35.7908254, -78.7128355)"
2017-10-21 13:22:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-21 13:25:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-02 11:49:00,FA40,0 W DAVIE ST 218,"(35.77570490000001, -78.64228349999999)"
2017-10-02 11:53:00,FA42,300 WEST MORGAN,"(35.7797459, -78.643395)"
2017-10-02 11:54:00,FA39,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-02 11:55:00,FA26,CITY MARKET LOT,"(35.7765235, -78.636409)"
2017-10-02 12:00:00,FA26,CITY MARKET LOT,"(35.7765235, -78.636409)"
2017-10-02 12:01:00,FA40,400 FAYETTEVILLE ST,"(35.7754545, -78.63968779999999)"
2017-10-02 12:08:00,FA40,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-10-19 12:29:00,FA40,200 S SALISBURY ST 3,"(35.7781779, -78.6404079)"
2017-10-19 12:31:00,FA40,200 S SALISBURY ST 3,"(35.7781779, -78.6404079)"
2017-10-21 16:52:00,S16,3900 BERYL ROAD,"(35.7944281, -78.6927766)"
2017-10-21 16:53:00,S16,3900 BERYL ROAD,"(35.7944281, -78.6927766)"
2017-10-21 16:57:00,FA41,3900 BERYL ROAD,"(35.7944281, -78.6927766)"
2017-10-21 16:59:00,S16,3900 BERYL ROAD,"(35.7944281, -78.6927766)"
2017-10-21 18:13:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-21 18:22:00,FA36,0 WEST DAVIE ST,"(35.7755893, -78.6393567)"
2017-10-02 10:31:00,FA40,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-02 10:31:00,FA39,200 GLENWOOD AVE 117,"(35.782899, -78.6471869)"
2017-10-02 10:38:00,FA40,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-02 12:11:00,FA40,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-10-02 12:11:00,FA26,CITY MARKET LOT,"(35.7765235, -78.636409)"
2017-10-02 12:15:00,FA41,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-02 12:16:00,FA40,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-10-02 12:18:00,FA26,CITY MARKET LOT,"(35.7765235, -78.636409)"
2017-10-02 12:25:00,FA41,0 W MARTIN ST 502,"(35.7771591, -78.6473474)"
2017-10-02 12:32:00,FA41,0 W MARTIN ST 187,"(35.7769244, -78.64181789999999)"
2017-10-02 12:32:00,FA42,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-14 21:46:00,FA36,300 SOUTH HARRINGTON,"(35.7771127, -78.64518509999999)"
2017-10-15 20:17:00,S16,540-544 PYLON,"(35.7921986, -78.7035144)"
2017-10-15 20:19:00,3425,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-19 13:07:00,3610,4224 BERYL ROAD,"(35.7950948, -78.6988788)"
2017-10-19 13:10:00,3610,4224 BERYL ROAD,"(35.7950948, -78.6988788)"
2017-10-19 13:29:00,3610,4500 BERYL ROAD,"(35.7949231, -78.7014394)"
2017-10-05 13:10:00,FA39,500 W LANE ST 307,"(35.7840083, -78.6466042)"
2017-10-05 13:15:00,FA39,300 GLENWOOD AVE 122,"(35.784294, -78.647143)"
2017-10-05 13:17:00,FA26,300 SOUTH PERSON ST,"(35.7767784, -78.6349929)"
2017-10-05 13:22:00,FA26,300 SOUTH PERSON ST,"(35.7767784, -78.6349929)"
2017-10-05 13:24:00,FA26,300 SOUTH PERSON ST,"(35.7767784, -78.6349929)"
2017-10-02 08:45:00,FA41,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-13 20:40:00,S16,4100 BERYL ROAD,"(35.79481579999999, -78.69564249999999)"
2017-10-18 22:19:00,FA27,300 SOUTH HARRINGTON,"(35.7771127, -78.64518509999999)"
2017-10-13 21:37:00,FA36,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-10-13 21:38:00,FA27,00 SOUTH WEST ST,"(35.780424, -78.6461628)"
2017-10-17 11:56:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-17 11:57:00,FA41,200 EAST CABARRUS ST,"(35.7741424, -78.63678949999999)"
2017-10-06 22:10:00,FA22,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-06 22:15:00,S16,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-06 22:16:00,FA22,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-06 22:16:00,FA27,300 WEST DAVIE ST,"(35.7757522, -78.6436338)"
2017-10-02 12:47:00,FA41,200 S SALISBURY ST 3,"(35.7781779, -78.6404079)"
2017-10-15 20:25:00,3425,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-15 20:27:00,3425,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-15 20:33:00,3425,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-09 19:00:00,FA41,600 WEST NORTH ST,"(35.7849055, -78.6473714)"
2017-10-09 19:14:00,FA41,700 WEST TUCKER ST,"(35.7863178, -78.6489483)"
2017-10-21 13:27:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-21 13:31:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-17 21:52:00,3180,4200 HILLSBOROUGH ST,"(35.7980369, -78.6965266)"
2017-10-17 23:17:00,FA27,100 HORNE ST,"(35.788632, -78.667253)"
2017-10-21 16:28:00,FA41,4400 BERYL ROAD,"(35.7949346, -78.69994880000002)"
2017-10-21 16:33:00,FA41,4400 BERYL ROAD,"(35.7949346, -78.69994880000002)"
2017-10-13 20:40:00,FA36,300 SOUTH HARRINGTON,"(35.7771127, -78.64518509999999)"
2017-10-13 20:48:00,FA27,300 NORTH BOYLAN AVE,"(35.7842324, -78.6490293)"
2017-10-13 20:52:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-10-13 20:54:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-10-13 21:01:00,S16,500 UWHARRIE COURT,"(35.79340380000001, -78.70344209999999)"
2017-10-13 21:01:00,FA27,700 WEST JONES ST,"(35.7830846, -78.6493151)"
2017-10-13 21:01:00,FA41,500 UWHARRIE COURT,"(35.79340380000001, -78.70344209999999)"
2017-10-17 08:27:00,FA22,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-10-17 11:59:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-17 12:05:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-17 12:11:00,3464,4700 HILLSBOROUGH ST,"(35.795436, -78.7025805)"
2017-10-17 12:10:00,FA41,200 EAST CABARRUS ST,"(35.7741424, -78.63678949999999)"
2017-10-17 12:19:00,FA39,200 GLENWOOD AVE 190,"(35.782899, -78.6471869)"
2017-10-07 00:38:00,FA41,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-07 00:38:00,FA27,300 COMMERCE PL,"(35.7759661, -78.64471809999999)"
2017-10-07 19:52:00,FA41,300 GLENWOOD AVE,"(35.784294, -78.647143)"
2017-10-07 20:00:00,FA41,100 NORTH HARRINGTON,"(35.7814272, -78.644953)"
2017-10-03 10:12:00,FA27,0 W HARGETT ST 156,"(0.0, 0.0)"
2017-10-03 10:12:00,FA42,300 WEST MARTIN,"(0.0, 0.0)"
